"parameter","median","lower","upper","Rhat","ESS"
"d13CO2_sigma",0.0999617320242696,0.0997933642281399,0.0999986633158151,1.00010071470221,23513.236531358
"GMST_sigma",0.499614181586035,0.497920115094897,0.499985655059603,1.00009472264376,23644.3379692239
"BWT_sigma",0.485688205306662,0.439369962978626,0.499448528096947,1.00047010204182,12883.9230794893
"cc_co2_constant1",12.0602576496393,11.8240727348331,12.2245299297067,1.00014866123574,23757.2629805786
"cc_co2_coeff1",0.139993463339713,0.139965022613356,0.139999774728181,0.999911739763189,24318.1498335269
"asd",1.01822460749406,0.62574460439184,1.4085852661287,1.00024030809503,24342.1092520504
"bpump",2.20099455217133,1.61285607156636,2.78299034138187,1.0000849576201,20921.692335163
"remin",1.15873335512392,0.652988620267677,1.6683959669372,1.00002949229585,23231.293145211
"f_co3",0.00297859379643473,0.0001100676753418,0.0142399484277654,1.00139761937111,568.717636563031
"f_carbacid",0.0048601841344484,0.000261489262386266,0.0135737139633471,1.00107821840744,982.48538804307
"Abf",4.37152968695796,3.70994768854907,5.05093488887612,1.00037954433062,14868.3662176715
"Asurf",1.01822460749406,0.62574460439184,1.4085852661287,1.00024030809503,24342.1092520504
"d13CO2_level",-7.49624684592033,-8.51124726499403,-6.59263394910615,1.50638928812366,110.505745146089
"bf.nsb_mean",0.386520027362165,-0.0621982956950186,0.840024814500353,1.00002601630581,24272.9351649678
"pf.nsb_mean",-0.524016326026953,-0.830632859743766,-0.208672125858574,1.00002908874744,18704.3247240101
"brach.nsb_mean",0.181718498921626,-0.126060811401714,0.496961388281309,0.999968985299669,18697.2144246574
"bivalve.nsb_mean",-0.710309237203826,-1.0180635727758,-0.394550316632152,0.999993166661049,18461.201778599
"amm.nsb_mean",1.678525273821,1.36357946482485,2.00036274656871,0.999990980276572,19143.0528991509
"bel.nsb_mean",1.72438138144999,1.41818159138719,2.04133371976392,0.999983418902981,18841.8080511042
"micrite.nsb_mean",-0.320775700233255,-0.672257717895667,0.0332006015361417,1.00028346701004,15929.9722243029
"bulk.nsb_mean",0.480816259539744,0.173488817155089,0.795296665444661,0.999961911665281,18712.8118689178
"bulk_sr.nsb_mean",1.43721005945705,1.00907729926206,1.87256329287097,1.00001279602035,16341.3368574533
"bulk_marg.nsb_mean",0.81509141020998,0.504052190822054,1.12931523808861,0.99998300960874,18860.5726114733
"bf.nsb_tau",1002006.60976931,934004.246734748,1065813.88413757,1.08302145227554,140.080789684005
"pf.nsb_tau",1001623.09136017,941878.491045771,1069324.89472329,1.06613838163292,138.260737150891
"brach.nsb_tau",996922.573639077,941901.465369414,1054710.80134032,1.09470742433069,304.766553565309
"bivalve.nsb_tau",1003982.65937174,937061.333839584,1065319.09364415,1.03796652512941,106.030193903964
"amm.nsb_tau",1002559.90245706,942019.938712467,1067816.85581048,1.05218218263636,184.360149689519
"bel.nsb_tau",989503.347789242,934266.04408465,1050819.20090857,1.03180794303068,126.652058579565
"micrite.nsb_tau",1003085.0917889,941621.732447163,1068172.72887336,1.01417323222009,139.916948245455
"bulk.nsb_tau",993604.047394478,938496.215300548,1065197.3790519,1.06831740162483,101.293688503693
"bulk_sr.nsb_tau",1004061.43992512,941843.96321023,1056007.87257519,1.08434053857291,94.966825112784
"bulk_marg.nsb_tau",991753.978824025,935705.914605557,1063252.56522169,1.06351141892442,252.568842191352
"bf.archive_level",-12.2280330279281,-13.0683514812525,-11.5643105799085,1.91147843622594,26.5494221809049
"pf.archive_level",4.08474463859646,3.26116771641394,4.74277577564147,1.98175257163143,13.6372284827155
"brach.archive_level",3.38118885894719,2.5582006295059,4.02512671603606,1.98553483363872,17.113037474781
"bivalve.archive_level",4.27250176743423,3.45220109340828,4.91841912093082,1.98358607160909,17.3349460667186
"amm.archive_level",1.88628734333359,1.05137500079534,2.53820922159394,1.96459391730942,17.7965227458726
"bel.archive_level",1.83831712442002,1.0151369163368,2.48430618965043,1.98447455976619,16.8302214694574
"micrite.archive_level",3.87544018998409,2.97639519391076,4.62419767063695,1.73641818720359,52.3306646257897
"bulk.archive_level",3.08259057054717,2.25783667385497,3.72552092676619,1.98618314777733,17.1252504554158
"bulk_sr.archive_level",2.11055935924632,1.20486218157739,2.8760959815837,1.74019010119655,42.0399356198554
"bulk_marg.archive_level",2.74885464111529,1.9221900968399,3.39153508225457,1.98386344804676,17.9790377214941
